name;master;sign;tel_punto_vendita;indirizzo;ac;ea;ea7;aj;aju;casa;ga;fiori;dolci;occhiali;orologi_gioielli;cosmetics;libri;tipo_store_macro;tipo_store;nazione_iso_3166;localita;tipo_rapporto;data_apertura;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI COLLEZIONI DONNA SEOUL;09245X;ARMANI COLLEZIONI DONNA;82-2-3440-1196;2F, HYUNDAI COEX, 159-7 SAMSUNG-DONG, GANGNAM-GU;1;0;0;0;0;0;1;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;KOREA SOUTH-REP.;SEOUL;RETAILER;19960901;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI COLLEZIONI DONNA MOSCOW;116505;ARMANI COLLEZIONI DONNA;007-095-9333379IRINA;TZUM TRADE HOUSE,PETROVKA STREET 2;1;0;0;0;0;0;1;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;RUSSIAN FEDERATION;MOSCOW;RETAILER;19000101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI COLLEZIONI DONNA PUERTO BANUS;121811;ARMANI COLLEZIONI DONNA;0034-91-4018500;EL CORTE INGLES, C/RAMON ARECES,S/N , MARBELLA PUERTO BANUS;0;0;0;0;0;0;0;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;SPAIN;PUERTO BANUS;RETAILER;19000101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI COLLEZIONI DONNA BARCELONA;121852;ARMANI COLLEZIONI DONNA;;EL CORTE INGLES, AVENIDA DIAGONAL 617;0;0;0;0;0;0;0;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;SPAIN;BARCELONA;RETAILER;20060901;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI COLLEZIONI DONNA POZUELO DE ALARCON;121853;ARMANI COLLEZIONI DONNA;;CARRETERA DE LA CORUNA KM 12,5;0;0;0;0;0;0;0;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;SPAIN;POZUELO DE ALARCON;RETAILER;20060601;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI COLLEZIONI DONNA PALMA DE MALLORCA;121854;ARMANI COLLEZIONI DONNA;;EL CORTE INGLES, AVENIDA JAIME III, 15;0;0;0;0;0;0;0;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;SPAIN;PALMA DE MALLORCA;RETAILER;20060601;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI COLLEZIONI DONNA MADRID;121855;ARMANI COLLEZIONI DONNA;0034-91-5778701;EL CORTE INGLES, RAIMUNDO FERNANDEZ VILLAVERDE 79,CASTELLANA;0;0;0;0;0;0;0;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;SPAIN;MADRID;RETAILER;20060315;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI COLLEZIONI DONNA MURCIA;12186F;ARMANI COLLEZIONI DONNA;0034 914910057;EL CORTE INGLES, AVENIDA DE LA LIBERTAD 1;0;0;0;0;0;0;0;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;SPAIN;MURCIA;RETAILER;20070611;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI COLLEZIONI DONNA VALENCIA;12186G;ARMANI COLLEZIONI DONNA;0034-963 159500;EL CORTE INGLES, PINTOR SOROLLA 26;0;0;0;0;0;0;0;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;SPAIN;VALENCIA;RETAILER;20070709;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI COLLEZIONI DONNA MADRID;121872;ARMANI COLLEZIONI DONNA;+34 913848200;EL CORTE INGLES, MARGARITA DE PARMA 1 CARRETERA DE BURGO KM12 SANCHINARRO;0;0;0;0;0;0;0;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;SPAIN;MADRID;RETAILER;20070715;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI COLLEZIONI DONNA MADRID;12187N;ARMANI COLLEZIONI DONNA;91 401 85 00;C/SERRANO 47;0;0;0;0;0;0;0;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;SPAIN;MADRID;ALTRO;20090301;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI COLLEZIONI DONNA BILBAO;1218BA;ARMANI COLLEZIONI DONNA;944 25 35 00;EL CORTE INGLES,  C/ GRAN VIA 7-9;0;0;0;0;0;0;0;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;SPAIN;BILBAO;RETAILER;20111201;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI COLLEZIONI DONNA ZAGREB;12210V;ARMANI COLLEZIONI DONNA;;ARENA TRIGRANIT CENTAR - JURISCICA BB, LANISTE;1;0;0;0;0;0;0;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;CROATIA;ZAGREB;RETAILER;20110201;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI COLLEZIONI DONNA PARIS;153409;ARMANI COLLEZIONI DONNA;+33-01 44 39 80 00;24 RUE DE SEVRES;1;0;0;0;0;0;0;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;FRANCE;PARIS;RETAILER;20120201;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI COLLEZIONI DONNA BERLIN;177002;ARMANI COLLEZIONI DONNA;030-209480;FRANZOESISCHE STRASSE 23;1;0;0;0;0;0;0;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;GERMANY;BERLIN;RETAILER;20030801;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI COLLEZIONI DONNA GRAZ;178501;ARMANI COLLEZIONI DONNA;0316-8703566;KOEGLERWEG 50;1;1;1;1;0;0;0;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;AUSTRIA;GRAZ;RETAILER;20091001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI COLLEZIONI DONNA BERLIN;236709;ARMANI COLLEZIONI DONNA;;TAUENTZIENSTRASSE 19;1;0;0;0;0;0;0;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;GERMANY;BERLIN;RETAILER;19000101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI COLLEZIONI DONNA FRANKFURT AM MAIN;236774;ARMANI COLLEZIONI DONNA;;ZEIL 73;1;0;0;0;0;0;0;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;GERMANY;FRANKFURT AM MAIN;RETAILER;20030601;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI COLLEZIONI DONNA DUESSELDORF;2367B9;ARMANI COLLEZIONI DONNA;;P&C HS DUSSELDORF 003 BERLINER ALLEE 1;1;0;0;0;0;0;0;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;GERMANY;DUESSELDORF;RETAILER;20030201;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI COLLEZIONI DONNA KOELN;2367BB;ARMANI COLLEZIONI DONNA;;SCHILDERGASSE 65/67;1;0;0;0;0;0;0;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;GERMANY;KOELN;RETAILER;20050901;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI COLLEZIONI DONNA DORTMUND;2367BD;ARMANI COLLEZIONI DONNA;;WESTENHELLWEG 1;1;1;1;1;0;0;0;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;GERMANY;DORTMUND;RETAILER;20040101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI COLLEZIONI DONNA WIEN;239102;ARMANI COLLEZIONI DONNA;;MARIAHILFERSTRASSE 26-30;1;0;0;0;0;0;0;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;AUSTRIA;WIEN;RETAILER;20030901;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI COLLEZIONI DONNA FREIBURG;262403;ARMANI COLLEZIONI DONNA;0761-319030;KAISER-JOSEPH-STRASSE 172-174;1;0;0;0;0;0;0;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;GERMANY;FREIBURG;RETAILER;20030201;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI COLLEZIONI DONNA GRAZ;263504;ARMANI COLLEZIONI DONNA;+433168216160;SCHMIEDGASSE 12;1;0;0;0;0;0;0;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;AUSTRIA;GRAZ;RETAILER;20080901;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI COLLEZIONI DONNA NUERNBERG;28393B;ARMANI COLLEZIONI DONNA;+49 911274240;KAROLINENSTRASSE 34;0;0;0;0;0;0;0;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;GERMANY;NUERNBERG;RETAILER;20071201;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI COLLEZIONI DONNA BERLIN;284102;ARMANI COLLEZIONI DONNA;;TAUENTZIENSTRASSE 21-24;0;0;0;0;0;0;0;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;GERMANY;BERLIN;RETAILER;20050901;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI COLLEZIONI DONNA MUENCHEN;28413B;ARMANI COLLEZIONI DONNA;+49 8929024531;NEUHAUSER STR. 18;0;0;0;0;0;0;0;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;GERMANY;MUENCHEN;RETAILER;20080601;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI COLLEZIONI DONNA HAMBURG;28413C;ARMANI COLLEZIONI DONNA;+49 4035901530;JUNGFERNSTIEG 16-29;0;0;0;0;0;0;0;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;GERMANY;HAMBURG;RETAILER;20080601;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI COLLEZIONI DONNA LISBOA;373202;ARMANI COLLEZIONI DONNA;0034-91-3090988;EL CORTE INGLES, AVENIDA ANTONIO AUGUSTO DE AGUIAR, 31;0;0;0;0;0;0;0;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;PORTUGAL;LISBOA;RETAILER;20040812;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI COLLEZIONI DONNA VILANOVA DE GAIA;37320P;ARMANI COLLEZIONI DONNA;;EL CORTE INGLES, AVENIDA DA REPUBLICA, 1435;0;0;0;0;0;0;0;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;PORTUGAL;VILANOVA DE GAIA;RETAILER;20110228;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI COLLEZIONI DONNA LONDON;374201;ARMANI COLLEZIONI DONNA;0044-207-7301234;3F, 87-135 BROMPTON ROAD;1;0;0;0;0;0;0;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;UNITED KINGDOM + (NORTH IRL.);LONDON;RETAILER;19950101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI COLLEZIONI DONNA LONDON;374501;ARMANI COLLEZIONI DONNA;0044-207-2355000;2F, 109-125 KNIGHTSBRIDGE;1;0;0;0;0;0;0;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;UNITED KINGDOM + (NORTH IRL.);LONDON;RETAILER;20010228;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI COLLEZIONI DONNA FUKUOKA;377401;ARMANI COLLEZIONI DONNA;0081-92-712 8181;4F HAKATA DAIMARU HIGASHIKAN, 1-4-1 TENJIN, CHUO-KU, FUKUOKA-SHI;1;0;0;0;0;0;1;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;JAPAN;FUKUOKA;RETAILER;20010915;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI COLLEZIONI DONNA KOBE;378101;ARMANI COLLEZIONI DONNA;0081-78-2214181;5F, 8-1-8, ONOE-DORI,CHUO-KU, KOBE-SHI;0;0;0;0;0;0;0;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;JAPAN;KOBE;RETAILER;19850901;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI COLLEZIONI DONNA NAGOYA;378401;ARMANI COLLEZIONI DONNA;0081-52-2521992;4F NAGOYA SAKAE MITSUKOSHI, 3-5-1 SAKAE, NAKA-KU, NAGOYA-SHI, AICHI;1;0;0;0;0;0;1;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;JAPAN;NAGOYA;RETAILER;19970306;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI COLLEZIONI DONNA NIIGATA CITY;378601;ARMANI COLLEZIONI DONNA;0081-25-242-1111;3F NIIGATA ISETAN, 1-6-1 YACHIYO, CHUO-KU, NIIGATA-SHI;1;0;0;0;0;0;1;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;JAPAN;NIIGATA CITY;RETAILER;19980812;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI COLLEZIONI DONNA OSAKA;378701;ARMANI COLLEZIONI DONNA;0081-6-6343-5648;7F DAIMARU UMEDA, 3-1-1 UMEDA, KITA-KU, OSAKA-SHI;1;0;0;0;0;0;1;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;JAPAN;OSAKA;RETAILER;19980826;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI COLLEZIONI DONNA OSAKA;378801;ARMANI COLLEZIONI DONNA;0081-6-66241111;4F, 1-1-43 ABENOSUJI, ABENO-KU, OSAKA-SHI;0;0;0;0;0;0;0;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;JAPAN;OSAKA;RETAILER;20010323;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI COLLEZIONI DONNA TOKYO;379401;ARMANI COLLEZIONI DONNA;0081-3-53252425;5F ODAKYU SHINJUKU, 1-1-3 NISHI-SHINJUKU, SHINJUKU-KU;1;0;0;0;0;0;1;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;JAPAN;TOKYO;RETAILER;19980812;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI COLLEZIONI DONNA KAGAWA;380301;ARMANI COLLEZIONI DONNA;0081-87-825-0648;3F TAKAMATSU MITSUKOSHI HONKAN, 7-1 UCHIMACHI, TAKAMATSU-SHI, KAGAWA;1;0;0;0;0;0;1;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;JAPAN;KAGAWA;RETAILER;19991001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI COLLEZIONI DONNA TOKYO;380601;ARMANI COLLEZIONI DONNA;0081-3-59518114;4F TOBU IKEBUKURO HONKAN, 1-1-25 NISHI-IKEBUKURO, TOSHIMA-KU;1;0;0;0;0;0;1;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;JAPAN;TOKYO;RETAILER;19980219;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI COLLEZIONI DONNA TOKYO;380901;ARMANI COLLEZIONI DONNA;0081-3-34773390;4F TOKYU SHIBUYA, 2-24-1 DOGENZAKA, SHIBUYA-KU;1;0;0;0;0;0;1;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;JAPAN;TOKYO;RETAILER;19960918;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI COLLEZIONI DONNA YOKOHAMA;381305;ARMANI COLLEZIONI DONNA;0081-45-4655214;4F SOGO YOKOHAMA, 2-18-1 TAKASHIMA, NISHI-KU, YOKOHAMA-SHI,KANAGAWA;1;0;0;0;0;0;1;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;JAPAN;YOKOHAMA;RETAILER;19850930;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI COLLEZIONI DONNA BONDI;381642;ARMANI COLLEZIONI DONNA;0011 61 (02) 9369 1;500 OXFORD STREET, BONDI JUNCTION;0;0;0;0;0;0;0;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;AUSTRALIA;BONDI;RETAILER;20110401;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI COLLEZIONI DONNA CHADSTONE;381643;ARMANI COLLEZIONI DONNA;0011 61 03) 8531 444;CHADSTONE SHOPPING CENTRE PRINCES HIGHWAY CHADSTONE;1;0;0;0;0;0;0;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;AUSTRALIA;CHADSTONE;RETAILER;20110601;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI COLLEZIONI DONNA AUCKLAND;382501;ARMANI COLLEZIONI DONNA;;1F, 253-261 QUEEN STREET;1;0;0;0;0;0;1;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;NEW ZEALAND;AUCKLAND;RETAILER;20011114;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI COLLEZIONI DONNA SENDAI;390202;ARMANI COLLEZIONI DONNA;0081-22-221-8164;3F SENDAI MITSUKOSHI HONKAN, 4-8-15 ICHIBAN-CHO, AOBA-KU, SENDAI-SHI, MIYAGI;1;0;0;0;0;0;1;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;JAPAN;SENDAI;RETAILER;20030401;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI COLLEZIONI DONNA MATSUYAMA;390403;ARMANI COLLEZIONI DONNA;0081-89-934-8787;3F MATSUYAMA MITSUKOSHI, 3-1-1 ICHIBAN-CHO, MATSUYAMA-SHI, EHIME;1;0;0;0;0;0;1;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;JAPAN;MATSUYAMA;RETAILER;20030901;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
